geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037101110,101110,2022,711,1573,1637.4893
1400000US06037101122,101122,2022,344,3214,3345.7664
1400000US06037101220,101220,2022,767,1487,1547.9635
1400000US06037101221,101221,2022,1077,1685,1754.0809
1400000US06037101222,101222,2022,897,1782,1855.0577
1400000US06037101300,101300,2022,291,2430,2529.6243
1400000US06037101400,101400,2022,332,1592,1657.2682
1400000US06037102103,102103,2022,269,2179,2268.3337
1400000US06037102104,102104,2022,275,3206,3337.4382
1400000US06037102105,102105,2022,232,1871,1947.7065
1400000US06037102107,102107,2022,280,2169,2257.9238
1400000US06037103101,103101,2022,115,2783,2897.0964
1400000US06037103102,103102,2022,459,1614,1680.1702
1400000US06037103201,103201,2022,1051,1672,1740.548
1400000US06037103202,103202,2022,12,,
1400000US06037103300,103300,2022,77,2750,2862.7434
1400000US06037103401,103401,2022,127,1990,2071.5852
1400000US06037103402,103402,2022,341,1455,1514.6515
1400000US06037104103,104103,2022,120,2273,2366.1875
1400000US06037104105,104105,2022,730,1506,1567.7424
1400000US06037104108,104108,2022,770,1699,1768.6549
1400000US06037104124,104124,2022,301,1848,1923.7635
1400000US06037104201,104201,2022,186,1878,1954.9935
1400000US06037104203,104203,2022,471,1479,1539.6355
1400000US06037104204,104204,2022,233,1450,1509.4465
1400000US06037104310,104310,2022,159,2662,2771.1357
1400000US06037104321,104321,2022,492,1155,1202.3523
1400000US06037104322,104322,2022,145,1106,1151.3434
1400000US06037104401,104401,2022,287,1488,1549.0044
1400000US06037104403,104403,2022,145,1839,1914.3947
1400000US06037104404,104404,2022,398,1650,1717.646
1400000US06037104500,104500,2022,124,3043,3167.7556
1400000US06037104610,104610,2022,215,2007,2089.2822
1400000US06037104620,104620,2022,281,1645,1712.441
1400000US06037104701,104701,2022,708,1349,1404.3058
1400000US06037104703,104703,2022,417,1676,1744.712
1400000US06037104704,104704,2022,424,1864,1940.4196
1400000US06037104821,104821,2022,475,1665,1733.261
1400000US06037104822,104822,2022,430,1946,2025.7814
1400000US06037104823,104823,2022,196,2721,2832.5544
1400000US06037104824,104824,2022,105,1205,1254.4021
1400000US06037106010,106010,2022,207,2320,2415.1145
1400000US06037106020,106020,2022,305,1855,1931.0505
1400000US06037106111,106111,2022,73,,
1400000US06037106112,106112,2022,216,2671,2780.5046
1400000US06037106113,106113,2022,181,1817,1891.4927
1400000US06037106114,106114,2022,814,2013,2095.5281
1400000US06037106403,106403,2022,223,1362,1417.8387
1400000US06037106405,106405,2022,482,1684,1753.0399
1400000US06037106406,106406,2022,421,2561,2665.9949
1400000US06037106407,106407,2022,680,1876,1952.9115
1400000US06037106408,106408,2022,824,1703,1772.819
1400000US06037106510,106510,2022,371,2363,2459.8774
1400000US06037106520,106520,2022,419,1889,1966.4445
1400000US06037106603,106603,2022,142,3501,3644.5327
1400000US06037106604,106604,2022,725,1781,1854.0167
1400000US06037106641,106641,2022,88,3273,3407.1851
1400000US06037106642,106642,2022,119,2966,3087.5989
1400000US06037106643,106643,2022,94,3501,3644.5327
1400000US06037106645,106645,2022,112,,
1400000US06037106646,106646,2022,150,1950,2029.9453
1400000US06037106648,106648,2022,684,1368,1424.0847
1400000US06037106649,106649,2022,94,2571,2676.4048
1400000US06037107010,107010,2022,240,1870,1946.6655
1400000US06037107020,107020,2022,373,1823,1897.7386
1400000US06037108101,108101,2022,97,3501,3644.5327
1400000US06037108102,108102,2022,140,3220,3352.0122
1400000US06037108103,108103,2022,86,3501,3644.5327
1400000US06037108104,108104,2022,114,3501,3644.5327
1400000US06037108202,108202,2022,966,2761,2874.1943
1400000US06037108203,108203,2022,356,3501,3644.5327
1400000US06037108204,108204,2022,35,,
1400000US06037109100,109100,2022,232,2513,2616.0271
1400000US06037109200,109200,2022,158,2898,3016.811
1400000US06037109300,109300,2022,76,3417,3557.0889
