geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037101110,101110,2022,1652,71799.688,68972
1400000US06037101122,101122,2022,1427,123731.94,118859
1400000US06037101220,101220,2022,1372,67809.547,65139
1400000US06037101221,101221,2022,1549,55535.141,53348
1400000US06037101222,101222,2022,1006,38286.852,36779
1400000US06037101300,101300,2022,1517,126470.8,121490
1400000US06037101400,101400,2022,1522,89468.539,85945
1400000US06037102103,102103,2022,788,67925.094,65250
1400000US06037102104,102104,2022,1393,110605.99,106250
1400000US06037102105,102105,2022,575,96726.375,92917
1400000US06037102107,102107,2022,1248,101786.66,97778
1400000US06037103101,103101,2022,985,130847.16,125694
1400000US06037103102,103102,2022,1740,88224.547,84750
1400000US06037103201,103201,2022,1656,87736.32,84281
1400000US06037103202,103202,2022,680,117102.86,112491
1400000US06037103300,103300,2022,1390,138799.33,133333
1400000US06037103401,103401,2022,1067,100856.02,96884
1400000US06037103402,103402,2022,1477,118041.84,113393
1400000US06037104103,104103,2022,886,112025.91,107614
1400000US06037104105,104105,2022,1621,61311.637,58897
1400000US06037104108,104108,2022,1346,65207.051,62639
1400000US06037104124,104124,2022,1376,79189.727,76071
1400000US06037104201,104201,2022,901,97568.539,93726
1400000US06037104203,104203,2022,1155,67664.844,65000
1400000US06037104204,104204,2022,744,78261.156,75179
1400000US06037104310,104310,2022,958,91048.773,87463
1400000US06037104321,104321,2022,887,38151.52,36649
1400000US06037104322,104322,2022,460,75147.539,72188
1400000US06037104401,104401,2022,665,72147.383,69306
1400000US06037104403,104403,2022,605,93328.555,89653
1400000US06037104404,104404,2022,765,83858.602,80556
1400000US06037104500,104500,2022,647,73971.211,71058
1400000US06037104610,104610,2022,716,87555.188,84107
1400000US06037104620,104620,2022,722,84649.758,81316
1400000US06037104701,104701,2022,953,51887.484,49844
1400000US06037104703,104703,2022,670,50206.273,48229
1400000US06037104704,104704,2022,1262,58828.855,56512
1400000US06037104821,104821,2022,772,72269.18,69423
1400000US06037104822,104822,2022,659,50257.281,48278
1400000US06037104823,104823,2022,729,84743.453,81406
1400000US06037104824,104824,2022,510,91699.398,88088
1400000US06037106010,106010,2022,941,130703.49,125556
1400000US06037106020,106020,2022,1328,120008.29,115282
1400000US06037106111,106111,2022,1445,129474.08,124375
1400000US06037106112,106112,2022,1431,113815.39,109333
1400000US06037106113,106113,2022,1047,116447.03,111861
1400000US06037106114,106114,2022,1803,78261.156,75179
1400000US06037106403,106403,2022,883,95109.703,91364
1400000US06037106405,106405,2022,1222,89691.313,86159
1400000US06037106406,106406,2022,1984,103368.98,99298
1400000US06037106407,106407,2022,915,35768.68,34360
1400000US06037106408,106408,2022,1080,56483.488,54259
1400000US06037106510,106510,2022,1716,118413.48,113750
1400000US06037106520,106520,2022,1497,93993.758,90292
1400000US06037106603,106603,2022,1200,140917.77,135368
1400000US06037106604,106604,2022,1258,66598.859,63976
1400000US06037106641,106641,2022,782,119135.93,114444
1400000US06037106642,106642,2022,1194,143060.14,137426
1400000US06037106643,106643,2022,1468,205504.38,197411
1400000US06037106645,106645,2022,1300,133645.36,128382
1400000US06037106646,106646,2022,996,125820.17,120865
1400000US06037106648,106648,2022,1198,71394.742,68583
1400000US06037106649,106649,2022,681,105690.41,101528
1400000US06037107010,107010,2022,793,85475.273,82109
1400000US06037107020,107020,2022,1231,84971.43,81625
1400000US06037108101,108101,2022,787,156149.64,150000
1400000US06037108102,108102,2022,1221,130686.84,125540
1400000US06037108103,108103,2022,1028,155231.48,149118
1400000US06037108104,108104,2022,596,156722.19,150550
1400000US06037108202,108202,2022,3607,171665.7,164905
1400000US06037108203,108203,2022,1200,140448.28,134917
1400000US06037108204,108204,2022,651,176113.89,169178
1400000US06037109100,109100,2022,930,84841.305,81500
1400000US06037109200,109200,2022,1123,124833.31,119917
1400000US06037109300,109300,2022,971,117359.98,112738
1400000US06037109400,109400,2022,1171,97407.188,93571
1400000US06037109500,109500,2022,1015,65062.352,62500
1400000US06037109601,109601,2022,1342,119561.7,114853
1400000US06037109603,109603,2022,1242,79683.164,76545
1400000US06037109604,109604,2022,922,105996.46,101822
1400000US06037109700,109700,2022,1460,115030.23,110500
1400000US06037109800,109800,2022,1524,77869.742,74803
1400000US06037111100,111100,2022,980,122643.05,117813
1400000US06037111201,111201,2022,1099,116007.73,111439
1400000US06037111202,111202,2022,2010,115223.86,110686
1400000US06037111204,111204,2022,1889,179443,172376
1400000US06037111205,111205,2022,1361,107352.88,103125
1400000US06037111206,111206,2022,1505,160899.72,154563
1400000US06037111302,111302,2022,1832,92084.563,88458
1400000US06037111303,111303,2022,1483,93364.992,89688
1400000US06037111304,111304,2022,1440,51615.785,49583
1400000US06037111401,111401,2022,674,136088.58,130729
1400000US06037111402,111402,2022,2175,58563.402,56257
1400000US06037113101,113101,2022,1186,126437.48,121458
1400000US06037113102,113102,2022,1035,187054.78,179688
1400000US06037113211,113211,2022,1694,114299.45,109798
1400000US06037113212,113212,2022,992,95758.25,91987
1400000US06037113213,113213,2022,1727,123259.32,118405
1400000US06037113231,113231,2022,869,127099.56,122094
1400000US06037113232,113232,2022,1541,149352.97,143471
1400000US06037113234,113234,2022,1716,74189.82,71268
1400000US06037113235,113235,2022,702,97864.188,94010
1400000US06037113237,113237,2022,1672,156439.03,150278
1400000US06037113238,113238,2022,1519,65929.5,63333
1400000US06037113239,113239,2022,890,49236.063,47297
1400000US06037113301,113301,2022,1835,127722.08,122692
1400000US06037113303,113303,2022,1284,113389.63,108924
1400000US06037113322,113322,2022,1546,123135.45,118286
1400000US06037113323,113323,2022,1551,90398.148,86838
1400000US06037113324,113324,2022,1043,102240.54,98214
1400000US06037113423,113423,2022,866,80238.016,77078
1400000US06037113424,113424,2022,1335,111101.51,106726
